date,topic_inflation
2008-01-01,38
2008-02-01,29
2008-03-01,29
2008-04-01,35
2008-05-01,26
2008-06-01,33
2008-07-01,38
2008-08-01,27
2008-09-01,32
2008-10-01,42
2008-11-01,36
2008-12-01,27
2009-01-01,32
2009-02-01,40
2009-03-01,46
2009-04-01,37
2009-05-01,28
2009-06-01,28
2009-07-01,21
2009-08-01,19
2009-09-01,23
2009-10-01,22
2009-11-01,30
2009-12-01,24
2010-01-01,29
2010-02-01,24
2010-03-01,27
2010-04-01,28
2010-05-01,44
2010-06-01,29
2010-07-01,16
2010-08-01,18
2010-09-01,20
2010-10-01,27
2010-11-01,30
2010-12-01,24
2011-01-01,33
2011-02-01,30
2011-03-01,27
2011-04-01,24
2011-05-01,28
2011-06-01,26
2011-07-01,23
2011-08-01,29
2011-09-01,27
2011-10-01,39
2011-11-01,37
2011-12-01,39
2012-01-01,33
2012-02-01,25
2012-03-01,25
2012-04-01,25
2012-05-01,24
2012-06-01,25
2012-07-01,18
2012-08-01,17
2012-09-01,22
2012-10-01,26
2012-11-01,25
2012-12-01,23
2013-01-01,26
2013-02-01,18
2013-03-01,21
2013-04-01,20
2013-05-01,19
2013-06-01,19
2013-07-01,13
2013-08-01,13
2013-09-01,19
2013-10-01,23
2013-11-01,28
2013-12-01,22
2014-01-01,26
2014-02-01,20
2014-03-01,20
2014-04-01,19
2014-05-01,21
2014-06-01,22
2014-07-01,14
2014-08-01,13
2014-09-01,20
2014-10-01,25
2014-11-01,26
2014-12-01,20
2015-01-01,30
2015-02-01,19
2015-03-01,18
2015-04-01,20
2015-05-01,20
2015-06-01,20
2015-07-01,13
2015-08-01,13
2015-09-01,16
2015-10-01,20
2015-11-01,19
2015-12-01,19
2016-01-01,22
2016-02-01,17
2016-03-01,17
2016-04-01,19
2016-05-01,15
2016-06-01,17
2016-07-01,11
2016-08-01,11
2016-09-01,14
2016-10-01,17
2016-11-01,26
2016-12-01,18
2017-01-01,24
2017-02-01,20
2017-03-01,20
2017-04-01,19
2017-05-01,18
2017-06-01,16
2017-07-01,13
2017-08-01,12
2017-09-01,15
2017-10-01,20
2017-11-01,24
2017-12-01,18
2018-01-01,23
2018-02-01,19
2018-03-01,17
2018-04-01,19
2018-05-01,17
2018-06-01,17
2018-07-01,14
2018-08-01,15
2018-09-01,18
2018-10-01,18
2018-11-01,23
2018-12-01,18
2019-01-01,20
2019-02-01,18
2019-03-01,20
2019-04-01,17
2019-05-01,17
2019-06-01,16
2019-07-01,12
2019-08-01,13
2019-09-01,17
2019-10-01,19
2019-11-01,22
2019-12-01,19
2020-01-01,20
2020-02-01,17
2020-03-01,38
2020-04-01,38
2020-05-01,28
2020-06-01,22
2020-07-01,19
2020-08-01,19
2020-09-01,21
2020-10-01,21
2020-11-01,24
2020-12-01,25
2021-01-01,32
2021-02-01,29
2021-03-01,32
2021-04-01,26
2021-05-01,30
2021-06-01,30
2021-07-01,23
2021-08-01,25
2021-09-01,33
2021-10-01,43
2021-11-01,47
2021-12-01,48
2022-01-01,63
2022-02-01,61
2022-03-01,71
2022-04-01,83
2022-05-01,82
2022-06-01,99
2022-07-01,100
2022-08-01,88
2022-09-01,96
2022-10-01,98
2022-11-01,83
2022-12-01,71
2023-01-01,92
2023-02-01,79
2023-03-01,82
2023-04-01,62
2023-05-01,80
2023-06-01,68
2023-07-01,57
2023-08-01,59
2023-09-01,76
2023-10-01,72
2023-11-01,84
2023-12-01,73
2024-01-01,80
2024-02-01,64
2024-03-01,56
2024-04-01,60
2024-05-01,52
2024-06-01,45
2024-07-01,47
2024-08-01,46
2024-09-01,59
2024-10-01,76
2024-11-01,66
2024-12-01,53
2025-01-01,62
2025-02-01,50
2025-03-01,49
2025-04-01,46
2025-05-01,46
2025-06-01,40
2025-07-01,39
2025-08-01,48
2025-09-01,81
2025-10-01,61
2025-11-01,84
2025-12-01,92
2026-01-01,90
2026-02-01,77
2026-03-01,88
2026-04-01,86
2026-05-01,64
2026-06-01,52
2026-07-01,43
